"org_lifestage","source_provider","source_ontology","source_term_id","source_term_label","source_term_definition","source_release","source_match_method","source_match_status","candidate_rank","candidate_score","candidate_reason","ecotox_release"
"Adult","NVS","S11","S1116","adult","An animal that has reached sexual maturity","current","baseline_review","resolved",1,100,"exact_normalized_label;baseline_reviewed","ecotox_ascii_03_12_2026.zip"
"Alevin",,,,,,,"provider_rank","unresolved",1,0,"no_provider_candidates","ecotox_ascii_03_12_2026.zip"
"Blastula","OLS4","UBERON","UBERON:0000307","blastula","Organism at the blastula stage - an early stage of embryonic development in animals. It is produced by cleavage of a fertilized ovum and consists of a spherical layer of around 128 cells surrounding a central fluid-filled cavity called the blastocoel. The blastula follows the morula and precedes the gastrula in the developmental sequence.","current","baseline_review","resolved",1,100,"exact_normalized_label;baseline_reviewed","ecotox_ascii_03_12_2026.zip"
"Boot","OLS4","PO","PO:0007013","BO.03 late boot stage","In rice the flag leaf sheath is more than 10cm out of the penultimate leaf sheath. Booting is a term used specifically for grasses (Poaceae).","current","baseline_review","resolved",1,75,"boundary_match;baseline_reviewed","ecotox_ascii_03_12_2026.zip"
"Bud blast stage","OLS4","PO","PO:0000055","bud","An undeveloped shoot system (PO:0009006).","current","baseline_review","resolved",1,75,"boundary_match;baseline_reviewed","ecotox_ascii_03_12_2026.zip"
"Bud or Budding","OLS4","PO","PO:0000055","bud","An undeveloped shoot system (PO:0009006).","current","baseline_review","resolved",1,75,"boundary_match;baseline_reviewed","ecotox_ascii_03_12_2026.zip"
"Cleavage stage","OLS4","UBERON","UBERON:0000107","cleavage stage","The first few specialized divisions of an activated animal egg; Stage consisting of division of cells in the early embryo. The zygotes of many species undergo rapid cell cycles with no significant growth, producing a cluster of cells the same size as the original zygote. The different cells derived from cleavage are called blastomeres and form a compact mass called the morula. Cleavage ends with the formation of the blastula.","current","baseline_review","resolved",1,100,"exact_normalized_label;baseline_reviewed","ecotox_ascii_03_12_2026.zip"
"Cocoon","OLS4","UBERON","UBERON:0013198","cocoon","analagous to a puparium in other insects","current","baseline_review","resolved",1,100,"exact_normalized_label;baseline_reviewed","ecotox_ascii_03_12_2026.zip"
"Copepodid",,,,,,,"provider_rank","unresolved",1,0,"no_provider_candidates","ecotox_ascii_03_12_2026.zip"
"Copepodite","NVS","S11","S115","copepodite","All sub-stages of the second development stage of copepoda crustaceans following the nauplii stage (N1 to N6) and before reaching the adult stage (sometimes also labelled C6 or CVI).","current","baseline_review","resolved",1,100,"exact_normalized_label;baseline_reviewed","ecotox_ascii_03_12_2026.zip"
"Corm","OLS4","PO","PO:0025355","corm","May serve as a storage or perennating organ. Usually underground. A corm differs from a bulb (PO:0025356) in that it does not have fleshy leaves or leaf bases but usually has scale leaves or remnants of dry leaf sheaths that form a protective covering around it. May bear remnants or scars of detached leaves. Adventitious roots may develop from the base of a corm, and these may be contractile, pulling the corm into the soil. Examples include Gladiolus and Crocus. The pseudobulb of an orchid is equivalent to a corm. A corm is very similar to a rhizome (PO:0004542) with very short sympodial units, although not all corms have sympodial growth.","current","baseline_review","resolved",1,100,"exact_normalized_label;baseline_reviewed","ecotox_ascii_03_12_2026.zip"
"Cyst","NVS","S11","S1121","cyst",,"current","baseline_review","resolved",1,100,"exact_normalized_label;baseline_reviewed","ecotox_ascii_03_12_2026.zip"
"Egg","NVS","S11","S1122","egg","Spherical or ellipsoidal bodies produced by the female of certain animals (e.g. fishes, birds, reptiles).","current","baseline_review","resolved",1,100,"exact_normalized_label;baseline_reviewed","ecotox_ascii_03_12_2026.zip"
"Egg laying","NVS","S11","S1122","egg","Spherical or ellipsoidal bodies produced by the female of certain animals (e.g. fishes, birds, reptiles).","current","baseline_review","resolved",1,75,"boundary_match;baseline_reviewed","ecotox_ascii_03_12_2026.zip"
"Elver",,,,,,,"provider_rank","unresolved",1,0,"no_provider_candidates","ecotox_ascii_03_12_2026.zip"
"Embryo","NVS","S11","S1106","embryo","The developing unborn or unhatched offspring of a multicellular organism.","current","baseline_review","resolved",1,100,"exact_normalized_label;baseline_reviewed","ecotox_ascii_03_12_2026.zip"
"Exponential growth phase (log)",,,,,,,"provider_rank","unresolved",1,0,"no_candidate_ge75","ecotox_ascii_03_12_2026.zip"
"Eyed egg or stage, eyed embryo","NVS","S11","S1106","embryo","The developing unborn or unhatched offspring of a multicellular organism.","current","baseline_review","resolved",1,75,"boundary_match;baseline_reviewed","ecotox_ascii_03_12_2026.zip"
