"source_ontology","source_term_id","harmonized_life_stage","reproductive_stage","derivation_source"
"ECOTOX_UNRESOLVED","Bud blast stage","Other/Unknown",FALSE,"manual_curator"
"ECOTOX_UNRESOLVED","Exponential growth phase (log)","Other/Unknown",FALSE,"permanently_unresolved"
"ECOTOX_UNRESOLVED","F0 generation","Other/Unknown",FALSE,"permanently_unresolved"
"ECOTOX_UNRESOLVED","F1 generation","Other/Unknown",FALSE,"permanently_unresolved"
"ECOTOX_UNRESOLVED","F11 generation","Other/Unknown",FALSE,"permanently_unresolved"
"ECOTOX_UNRESOLVED","F2 generation","Other/Unknown",FALSE,"permanently_unresolved"
"ECOTOX_UNRESOLVED","F3 generation","Other/Unknown",FALSE,"permanently_unresolved"
"ECOTOX_UNRESOLVED","F6 generation","Other/Unknown",FALSE,"permanently_unresolved"
"ECOTOX_UNRESOLVED","F7 generation","Other/Unknown",FALSE,"permanently_unresolved"
"ECOTOX_UNRESOLVED","Gamete","Other/Unknown",FALSE,"permanently_unresolved"
"ECOTOX_UNRESOLVED","Gestation","Other/Unknown",FALSE,"permanently_unresolved"
"ECOTOX_UNRESOLVED","Intermolt","Other/Unknown",FALSE,"manual_curator"
"ECOTOX_UNRESOLVED","Lactational","Other/Unknown",FALSE,"permanently_unresolved"
"ECOTOX_UNRESOLVED","Lag growth phase","Other/Unknown",FALSE,"permanently_unresolved"
"ECOTOX_UNRESOLVED","Larva-pupa","Other/Unknown",FALSE,"manual_curator"
"ECOTOX_UNRESOLVED","Mid-neurula","Other/Unknown",FALSE,"manual_curator"
"ECOTOX_UNRESOLVED","Molt","Other/Unknown",FALSE,"manual_curator"
"ECOTOX_UNRESOLVED","Multiple","Other/Unknown",FALSE,"manual_curator"
"ECOTOX_UNRESOLVED","Neurala","Other/Unknown",FALSE,"manual_curator"
"ECOTOX_UNRESOLVED","Not coded","Unspecified",FALSE,"manual_derivation"
"ECOTOX_UNRESOLVED","Not intact","Unspecified",FALSE,"manual_derivation"
"ECOTOX_UNRESOLVED","Not reported","Unspecified",FALSE,"manual_derivation"
"ECOTOX_UNRESOLVED","Oocyte, ova","Other/Unknown",FALSE,"permanently_unresolved"
